fcu_oveTSup_u,fcu_oveFan_u,zon_reaTRooAir_y,zon_weaSta_reaWeaTDryBul_y,time
291.0901113502408,0.4847039737955862,295.27140914988416,277.0959056712963,29334900
298.3841648683035,0.6847039737955862,297.2063072502669,277.2648148148148,29335200
291.8868615911535,0.4847039737955862,295.6444579174863,277.43476562499995,29335500
299.8868615911535,0.6847039737955862,297.9772846448364,277.6056712962963,29335800
292.79306793762095,0.6829029989306198,295.81140932536994,277.7774450231481,29336100
300.79306793762095,0.48290299893061983,298.0788202977186,277.95,29336400
295.6976905019049,0.6829029989306198,297.0881982544261,278.1232642253445,29336700
287.6976905019049,0.6166251160066927,294.05450327126044,278.29716031438414,29337000
286.0570202494553,0.4166251160066926,293.6655523677582,278.4715933866279,29337300
285.48976531562244,0.6166251160066927,292.61065035457005,278.6464685615848,29337600
288.1087014117578,0.4166251160066926,293.831983852138,278.82169095876395,29337900
296.1087014117578,0.4733880693165785,296.24823440229534,278.9971656976744,29338200
301.5224626261409,0.2733880693165785,298.1615025368988,279.17279789782515,29338500
293.5224626261409,0.4733880693165785,296.948310251848,279.3484926787252,29338800
301.5224626261409,0.3916539605549676,298.8313724635548,279.5241551598837,29339100
304.5153486809731,0.5916539605549676,300.8636363994118,279.6996904608096,29339400
310.94815780804527,0.3916539605549675,302.7759874931465,279.875003701012,29339700
302.94815780804527,0.1916539605549675,301.321078853825,280.04999999999995,29340000
309.8074218198665,0.3916539605549675,302.77379573097886,280.23687419250643,29340300
301.8074218198665,0.5916539605549676,301.3079626034845,280.4432493540052,29340600
295.04826628150187,0.3916539605549675,299.0834243098634,280.66217296511627,29340900
287.04826628150187,0.5916539605549676,295.2123026524981,280.88669250645995,29341200
295.04826628150187,0.65184224078446,296.87712241315364,281.1098554586563,29341500
288.34786495318696,0.85184224078446,294.19943369476465,281.3247093023256,29341800
287.8000619364061,0.65184224078446,294.13698830710666,281.52430151808784,29342100
295.8000619364061,0.4518422407844599,296.963085239432,281.7016795865633,29342400
303.8000619364061,0.65184224078446,300.62472814377503,281.84989098837207,29342700
308.5803035038447,0.4518422407844599,302.7107474775529,281.9619832041344,29343000
302.75325563836105,0.2518422407844599,301.6468460439849,282.0310037144703,29343300
309.0560694198337,0.4518422407844599,303.24900127267944,282.04999999999995,29343600
301.0560694198337,0.2518422407844599,301.6434156648102,282.0143370478036,29343900
294.78620273548376,0.350186121295763,299.5809747320321,281.928649870801,29344200
286.78620273548376,0.550186121295763,295.7534156571176,281.79989098837206,29344500
294.78620273548376,0.350186121295763,297.507739999902,281.6350129198966,29344800
302.78620273548376,0.150186121295763,299.38716310914424,281.4409681847545,29345100
301.39625421346483,0.350186121295763,300.23318636411665,281.22470930232555,29345400
307.98978457753,0.550186121295763,302.822987622685,280.99318879198967,29345700
308.2523362928169,0.750186121295763,304.1707766458943,280.75335917312657,29346000
309.7072092845761,0.7035454536105868,304.91826395582024,280.51217296511624,29346300
301.7072092845761,0.6950875482487573,302.01387903692256,280.2765826873385,29346600
295.55417363528613,0.6867062804220839,298.87024047517366,280.0535408591731,29346900
295.6706498765941,0.595974818968123,298.2196053445239,279.85,29347200
303.6706498765941,0.795974818968123,301.19614279098903,279.6584431300244,29347500
310.98729115622126,0.9009078519249718,305.2507625135411,279.46674292994544,29347800
302.98729115622126,0.7009078519249718,302.38440600312043,279.2749364098837,29348100
294.98729115622126,0.5762359929620523,298.8652523315145,279.0830605799598,29348400
300.85886357990626,0.6084182065968086,299.88010516780787,278.89115245029427,29348700
306.8751976933006,0.6808130097021142,302.4444806362917,278.6992490310077,29349000
298.8751976933006,0.6219619944717358,300.0416698024148,278.5073873322208,29349300
290.8751976933006,0.4219619944717358,297.2743200882989,278.315604364054,29349600
289.1242880318308,0.6219619944717358,295.16361774017935,278.1239371366279,29349900
297.1242880318308,0.7961761772336172,297.3642534649572,277.93242266006314,29350200
295.7867607071651,0.5961761772336172,297.3552450205937,277.7410979444803,29350500
293.5566359159654,0.6117680571077638,296.524376108679,277.54999999999995,29350800
